Date,Strategy,Ticker,Weight
2021-09-01,Minimum Variance,JNJ,0.344558
2021-09-01,Minimum Variance,PG,0.228901
2021-09-01,Minimum Variance,XOM,0.0
2021-09-01,Minimum Variance,CAT,0.0
2021-09-01,Minimum Variance,AMZN,0.193442
2021-09-01,Minimum Variance,BRK-B,0.198064
2021-09-01,Minimum Variance,LLY,0.035035
2021-09-01,Minimum Variance,NEE,0.0
2021-10-01,Minimum Variance,AAPL,0.0
2021-10-01,Minimum Variance,MSFT,0.0
2021-10-01,Minimum Variance,GOOGL,0.0
2021-10-01,Minimum Variance,JPM,0.0
2021-10-01,Minimum Variance,JNJ,0.344779
2021-10-01,Minimum Variance,PG,0.231992
2021-10-01,Minimum Variance,XOM,0.0
2021-10-01,Minimum Variance,CAT,0.0
2021-10-01,Minimum Variance,AMZN,0.19284
2021-10-01,Minimum Variance,BRK-B,0.199892
2021-10-01,Minimum Variance,LLY,0.030498
2021-10-01,Minimum Variance,NEE,0.0
2021-11-01,Minimum Variance,AAPL,0.0
2021-11-01,Minimum Variance,MSFT,0.0
2021-11-01,Minimum Variance,GOOGL,0.0
2021-11-01,Minimum Variance,JPM,0.0
2021-11-01,Minimum Variance,JNJ,0.342992
2021-11-01,Minimum Variance,PG,0.236841
2021-11-01,Minimum Variance,XOM,0.0
2021-11-01,Minimum Variance,CAT,0.0
2021-11-01,Minimum Variance,AMZN,0.190014
2021-11-01,Minimum Variance,BRK-B,0.199734
2021-11-01,Minimum Variance,LLY,0.030419
2021-11-01,Minimum Variance,NEE,0.0
2021-12-01,Minimum Variance,AAPL,0.0
2021-12-01,Minimum Variance,MSFT,0.0
2021-12-01,Minimum Variance,GOOGL,0.0
2021-12-01,Minimum Variance,JPM,0.0
2021-12-01,Minimum Variance,JNJ,0.343497
2021-12-01,Minimum Variance,PG,0.23595
2021-12-01,Minimum Variance,XOM,0.0
2021-12-01,Minimum Variance,CAT,0.0
2021-12-01,Minimum Variance,AMZN,0.187504
2021-12-01,Minimum Variance,BRK-B,0.204215
2021-12-01,Minimum Variance,LLY,0.028834
2021-12-01,Minimum Variance,NEE,0.0
2022-01-03,Minimum Variance,AAPL,0.0
2022-01-03,Minimum Variance,MSFT,0.0
2022-01-03,Minimum Variance,GOOGL,0.0
2022-01-03,Minimum Variance,JPM,0.0
2022-01-03,Minimum Variance,JNJ,0.341704
2022-01-03,Minimum Variance,PG,0.23759
2022-01-03,Minimum Variance,XOM,0.0
2022-01-03,Minimum Variance,CAT,0.0
2022-01-03,Minimum Variance,AMZN,0.192585
2022-01-03,Minimum Variance,BRK-B,0.20377
2022-01-03,Minimum Variance,LLY,0.024351
2022-01-03,Minimum Variance,NEE,0.0
2022-02-01,Minimum Variance,AAPL,0.0
2022-02-01,Minimum Variance,MSFT,0.0
2022-02-01,Minimum Variance,GOOGL,0.0
2022-02-01,Minimum Variance,JPM,0.0
2022-02-01,Minimum Variance,JNJ,0.342877
2022-02-01,Minimum Variance,PG,0.244036
2022-02-01,Minimum Variance,XOM,0.000714
2022-02-01,Minimum Variance,CAT,0.0
2022-02-01,Minimum Variance,AMZN,0.185281
2022-02-01,Minimum Variance,BRK-B,0.201675
2022-02-01,Minimum Variance,LLY,0.025417
2022-02-01,Minimum Variance,NEE,0.0
2022-03-01,Minimum Variance,AAPL,0.0
2022-03-01,Minimum Variance,MSFT,0.0
2022-03-01,Minimum Variance,GOOGL,0.0
2022-03-01,Minimum Variance,JPM,0.0
2022-03-01,Minimum Variance,JNJ,0.336952
2022-03-01,Minimum Variance,PG,0.252354
2022-03-01,Minimum Variance,XOM,0.005059
2022-03-01,Minimum Variance,CAT,0.0
2022-03-01,Minimum Variance,AMZN,0.173938
2022-03-01,Minimum Variance,BRK-B,0.203103
2022-03-01,Minimum Variance,LLY,0.028279
2022-03-01,Minimum Variance,NEE,0.000315
2022-04-01,Minimum Variance,AAPL,0.0
2022-04-01,Minimum Variance,MSFT,0.0
2022-04-01,Minimum Variance,GOOGL,0.0
2022-04-01,Minimum Variance,JPM,0.0
2022-04-01,Minimum Variance,JNJ,0.344876
2022-04-01,Minimum Variance,PG,0.244261
2022-04-01,Minimum Variance,XOM,0.022327
2022-04-01,Minimum Variance,CAT,0.0
2022-04-01,Minimum Variance,AMZN,0.169629
2022-04-01,Minimum Variance,BRK-B,0.182803
2022-04-01,Minimum Variance,LLY,0.02743
2022-04-01,Minimum Variance,NEE,0.008674
2022-05-02,Minimum Variance,AAPL,0.0
2022-05-02,Minimum Variance,MSFT,0.0
2022-05-02,Minimum Variance,GOOGL,0.0
2022-05-02,Minimum Variance,JPM,0.0
2022-05-02,Minimum Variance,JNJ,0.346989
2022-05-02,Minimum Variance,PG,0.252932
2022-05-02,Minimum Variance,XOM,0.024731
2022-05-02,Minimum Variance,CAT,0.0
2022-05-02,Minimum Variance,AMZN,0.146328
2022-05-02,Minimum Variance,BRK-B,0.191796
2022-05-02,Minimum Variance,LLY,0.028993
2022-05-02,Minimum Variance,NEE,0.008232
2022-06-01,Minimum Variance,AAPL,0.0
2022-06-01,Minimum Variance,MSFT,0.0
2022-06-01,Minimum Variance,GOOGL,0.0
2022-06-01,Minimum Variance,JPM,0.0
2022-06-01,Minimum Variance,JNJ,0.371869
2022-06-01,Minimum Variance,PG,0.234855
2022-06-01,Minimum Variance,XOM,0.024708
2022-06-01,Minimum Variance,CAT,0.0
2022-06-01,Minimum Variance,AMZN,0.133197
2022-06-01,Minimum Variance,BRK-B,0.194251
2022-06-01,Minimum Variance,LLY,0.027865
2022-06-01,Minimum Variance,NEE,0.013256
2022-07-01,Minimum Variance,AAPL,0.0
2022-07-01,Minimum Variance,MSFT,0.0
2022-07-01,Minimum Variance,GOOGL,0.0
2022-07-01,Minimum Variance,JPM,0.0
2022-07-01,Minimum Variance,JNJ,0.386809
2022-07-01,Minimum Variance,PG,0.240911
2022-07-01,Minimum Variance,XOM,0.033388
2022-07-01,Minimum Variance,CAT,0.0
2022-07-01,Minimum Variance,AMZN,0.122374
2022-07-01,Minimum Variance,BRK-B,0.183154
2022-07-01,Minimum Variance,LLY,0.024993
2022-07-01,Minimum Variance,NEE,0.008371
2022-08-01,Minimum Variance,AAPL,0.0
2022-08-01,Minimum Variance,MSFT,0.0
2022-08-01,Minimum Variance,GOOGL,0.0
2022-08-01,Minimum Variance,JPM,0.0
2022-08-01,Minimum Variance,JNJ,0.390203
2022-08-01,Minimum Variance,PG,0.245236
2022-08-01,Minimum Variance,XOM,0.033101
2022-08-01,Minimum Variance,CAT,0.0
2022-08-01,Minimum Variance,AMZN,0.118677
2022-08-01,Minimum Variance,BRK-B,0.182185
2022-08-01,Minimum Variance,LLY,0.025733
2022-08-01,Minimum Variance,NEE,0.004866
2022-09-01,Minimum Variance,AAPL,0.0
2022-09-01,Minimum Variance,MSFT,0.0
2022-09-01,Minimum Variance,GOOGL,0.0
2022-09-01,Minimum Variance,JPM,0.0
2022-09-01,Minimum Variance,JNJ,0.395616
2022-09-01,Minimum Variance,PG,0.243635
2022-09-01,Minimum Variance,XOM,0.040836
2022-09-01,Minimum Variance,CAT,0.0
2022-09-01,Minimum Variance,AMZN,0.114327
2022-09-01,Minimum Variance,BRK-B,0.170741
2022-09-01,Minimum Variance,LLY,0.025335
2022-09-01,Minimum Variance,NEE,0.00951
2022-10-03,Minimum Variance,AAPL,0.0
2022-10-03,Minimum Variance,MSFT,0.0
2022-10-03,Minimum Variance,GOOGL,0.0
2022-10-03,Minimum Variance,JPM,0.0
2022-10-03,Minimum Variance,JNJ,0.402348
2022-10-03,Minimum Variance,PG,0.245744
