Date,Strategy,Portfolio Value,Normalized Value,Daily Return
2022-03-07,S&P 500,1673720.95,1.716209,-0.029518
2022-03-08,S&P 500,1661613.66,1.703794,-0.007234
2022-03-09,S&P 500,1704314.22,1.747579,0.025698
2022-03-10,S&P 500,1696999.63,1.740078,-0.004292
2022-03-11,S&P 500,1675003.89,1.717524,-0.012962
2022-03-14,S&P 500,1662573.68,1.704778,-0.007421
2022-03-15,S&P 500,1698167.01,1.741275,0.021409
2022-03-16,S&P 500,1736178.38,1.780252,0.022384
2022-03-17,S&P 500,1757616.39,1.802234,0.012348
2022-03-18,S&P 500,1778114.23,1.823252,0.011662
2022-03-21,S&P 500,1777341.36,1.822459,-0.000435
2022-03-22,S&P 500,1797432.62,1.843061,0.011304
2022-03-23,S&P 500,1775373.28,1.820441,-0.012273
2022-03-24,S&P 500,1800839.08,1.846554,0.014344
2022-03-25,S&P 500,1809962.43,1.855909,0.005066
2022-03-28,S&P 500,1822894.53,1.869169,0.007145
2022-03-29,S&P 500,1845236.93,1.892079,0.012257
2022-03-30,S&P 500,1833623.56,1.88017,-0.006294
2022-03-31,S&P 500,1804922.69,1.850741,-0.015653
2022-04-01,S&P 500,1811077.88,1.857052,0.00341
2022-04-04,S&P 500,1825731.2,1.872078,0.008091
2022-04-05,S&P 500,1802815.13,1.84858,-0.012552
2022-04-06,S&P 500,1785297.33,1.830617,-0.009717
2022-04-07,S&P 500,1792890.89,1.838404,0.004253
2022-04-08,S&P 500,1788137.88,1.83353,-0.002651
2022-04-11,S&P 500,1757958.96,1.802585,-0.016877
2022-04-12,S&P 500,1751951.23,1.796425,-0.003417
2022-04-13,S&P 500,1771528.54,1.816499,0.011175
2022-04-14,S&P 500,1750014.86,1.794439,-0.012144
2022-04-18,S&P 500,1749656.33,1.794072,-0.000205
2022-04-19,S&P 500,1777751.62,1.82288,0.016058
2022-04-20,S&P 500,1776652.13,1.821753,-0.000618
2022-04-21,S&P 500,1750441.27,1.794877,-0.014753
2022-04-22,S&P 500,1701883.94,1.745087,-0.02774
2022-04-25,S&P 500,1711581.16,1.75503,0.005698
2022-04-26,S&P 500,1663406.47,1.705632,-0.028146
2022-04-27,S&P 500,1666896.38,1.709211,0.002098
2022-04-28,S&P 500,1708146.89,1.751509,0.024747
2022-04-29,S&P 500,1646167.63,1.687956,-0.036285
2022-05-02,S&P 500,1655510.03,1.697535,0.005675
2022-05-03,S&P 500,1663517.94,1.705747,0.004837
2022-05-04,S&P 500,1713194.61,1.756684,0.029862
2022-05-05,S&P 500,1652119.72,1.694059,-0.03565
2022-05-06,S&P 500,1642745.22,1.684447,-0.005674
2022-05-09,S&P 500,1590116.43,1.630482,-0.032037
2022-05-10,S&P 500,1594024.77,1.634489,0.002458
2022-05-11,S&P 500,1567782.01,1.60758,-0.016463
2022-05-12,S&P 500,1565750.22,1.605497,-0.001296
